feature,weight
dA 1,0.005772637116489701
dA 2,0.007188896196322205
dA 3,0.019716742094370358
dA 4,0.010150026192546052
dA 5,0.006726661249272785
dA 6,0.0056206024330125405
dA 7,0.008621042612074218
dA 8,0.005167836188295083
dA 9,0.006309578492316856
dA 10,0.006151442490663913
dA 11,0.01617541220765342
dA 12,0.004471413366577437
dA 13,0.00395133193381622
dA 14,0.005214679154867016
dA 15,0.006363401013970287
dA 16,0.004967858733454791
dA 17,0.0072808512455794115
dA 18,0.0042164866400956616
dA 19,0.003113705517782993
dA 20,0.006721741575708686
dA 21,0.0007892260582864752
dA 22,0.004672044157157526
dA 23,0.012189445225557845
dA 24,0.006793347764960388
dA 25,0.002460760628123514
dA 26,0.0019339335626025183
dA 27,0.0021263258576804515
dA 28,0.0012495260736403468
dA 29,0.002911094612752461
dA 30,0.009407615039584953
dA 31,0.0023157847970723747
dA 32,0.017404859473591452
dA 33,0.00670637209511477
dA 34,0.00944851810904717
dA 35,0.004373049217669597
dA 36,0.0023991014984234994
dA 37,0.00141536320665372
dA 38,0.0014807731107225298
dA 39,0.001365241997751228
dA 40,0.00040068284507248125
dA 41,0.0011093808007320292
dA 42,0.003750789094524781
dA 43,0.0014968893465963449
dA 44,0.0047735490503735675
dA 45,0.005582415969497451
dA 46,0.0011443216029100344
dA 47,0.002713824956817311
dA 48,0.004118722221338966
dA 49,0.0022929205911477756
dA 50,0.0026685359847261033
dA 51,0.0025153362852711365
dA 52,0.0024826510167776355
dA 53,0.004144139582654421
dA 54,0.0018304444762795656
dA 55,0.0025237032395260942
dA 56,0.001593648914693955
dA 57,0.0010898306008752057
dA 58,0.0012694810644888158
dA 59,0.0006802732902815938
dA 60,0.0005855594395398442
dA 61,0.0006001140520408995
dA 62,0.0019405297932327198
dA 63,0.0012865301158047932
dA 64,0.0006134559703456493
dA 65,0.004145303827210619
dA 66,0.0015727766644972635
dA 67,0.0026537130046487955
dA 68,0.0045475509629238605
dA 69,0.0016345824362615452
dA 70,0.0031796151695347185
dA 71,0.053768620240778935
dA 72,0.010747903881069656
dA 73,0.0029557278852989665
dA 74,0.005733441163848699
dA 75,0.00545807487737311
dA 76,0.00225018367589107
dA 77,0.0031554463249026323
dA 78,0.0009670333763670803
dA 79,0.002073781988646629
dA 80,0.003882237442810816
dA 81,0.005934014157898047
dA 82,0.0025775077896831346
dA 83,0.00200543820372673
dA 84,0.0022652336854605886
dA 85,0.001580058389713151
dA 86,0.0012404259071574718
dA 87,0.002805738584982606
dA 88,0.0020500954859074367
dA 89,0.002558166991886595
dA 90,0.002011701084861599
dA 91,0.0020452079403718727
dA 92,0.001790188001927979
dA 93,0.0026378502283562794
dA 94,0.0019554638808993844
dA 95,0.003315584516094749
dA 96,0.0034005132161601254
dA 97,0.0017315475231258473
dA 98,0.002625060279561982
dA 99,0.0025575162154994487
dA 100,0.001940027914643794
dA 101,0.0032898389876395316
dA 102,0.004587512617803581
dA 103,0.006333390245648049
dA 104,0.005533362891924876
dA 105,0.006024929905485953
dA 106,0.002035758031689327
dA 107,0.00409853861319432
dA 108,0.003040998406099985
dA 109,0.0034017711960111037
dA 110,0.0017618024682577059
dA 111,0.0012092367780090398
dA 112,0.002260427915544966
dA 113,0.0014115838440595199
dA 114,0.0010378729659023189
dA 115,0.0017359385842178855
dA 116,0.002556796275448767
dA 117,0.002352816490231264
dA 118,0.00394522654263038
dA 119,0.004025722537301807
dA 120,0.0030244467151998777
dA 121,0.004562786154264083
dA 122,0.0018214029336563057
dA 123,0.0034778280571953622
dA 124,0.008700930603114306
dA 125,0.001981008014425106
dA 126,0.002038516773340535
dA 127,0.001506859842402402
dA 128,0.0039793295627198605
dA 129,0.0025540768133094937
dA 130,0.003967670613511387
dA 131,0.007069098426742573
dA 132,0.0040485862337732575
dA 133,0.003911750131592463
dA 134,0.0027530623136568983
dA 135,0.003022164901381884
dA 136,0.0008996879339737958
dA 137,0.001956490763890499
dA 138,0.002544955387844115
dA 139,0.0011106932861025885
dA 140,0.0009349010643260018
dA 141,0.000981718890244194
dA 142,0.006764434137891188
dA 143,0.0057069282650106
dA 144,0.002976053422305154
dA 145,0.001682135808644156
dA 146,0.0034329382908337004
dA 147,0.001866952041447685
dA 148,0.0014877886972319823
dA 149,0.004084516223820567
dA 150,0.0012679654957288755
dA 151,0.0024429131208358115
dA 152,0.002208644168463871
dA 153,0.0004117651669587022
dA 154,0.0015228288326293153
dA 155,0.0016746560500039993
dA 156,0.0018031768589365546
dA 157,0.006928545994207152
dA 158,0.0030132261474833323
dA 159,0.0013932386937235866
dA 160,0.001134321485067146
dA 161,0.0037823554250630566
dA 162,0.0018087781931981517
dA 163,0.0013359699463900943
dA 164,0.001965751685917002
dA 165,0.0040238779782263935
dA 166,0.005622650667139695
dA 167,0.007075754430503628
dA 168,0.005065790838056694
dA 169,0.007481907644252911
dA 170,0.0033584861898678857
dA 171,0.005997088529727457
dA 172,0.004622192912084529
dA 173,0.002911651409963451
dA 174,0.0037386772052843977
dA 175,0.008024386666954535
dA 176,0.007133390927489431
dA 177,0.006365441743413639
dA 178,0.00718509322563432
dA 179,0.004582182715029726
dA 180,0.003038204226947656
dA 181,0.011724821437245458
dA 182,0.003328733234185586
dA 183,0.0034089188219451933
dA 184,0.004522886951019438
dA 185,0.0031167412950763858
dA 186,0.0077115049500538465
dA 187,0.00480688144562195
dA 188,0.006319390906728041
dA 189,0.0027522779118323666
dA 190,0.003266699951048977
dA 191,0.00506068686576186
dA 192,0.005601419960313146
dA 193,0.0028830567400418006
dA 194,0.010157245617348645
dA 195,0.001851082800060643
dA 196,0.004217437246486235
dA 197,0.004191933333371205
dA 198,0.013045903495500244
dA 199,0.010485602563239979
dA 200,0.01102380207264663
dA 201,0.005567570992937036
dA 202,0.008152357243230544
dA 203,0.006830081227657475
dA 204,0.004923746428360307
dA 205,0.004841783998308003
dA 206,0.005928076051452454
dA 207,0.010500801595866041
dA 208,0.010412181583726728
dA 209,0.0028071600121671895
dA 210,0.004229161538847312
dA 211,0.004919594989784216
dA 212,0.00575811767000821
dA 213,0.012672913263952933
dA 214,0.00815504575467722
dA 215,0.004670569542351065
dA 216,0.006356867792174572
dA 217,0.0043167266961343445
dA 218,0.004120184461818655
dA 219,0.007209568086186949
dA 220,0.010733562254491933
dA 221,0.007035787402804207
dA 222,0.006539284810961673
dA 223,0.005850186673681982
dA 224,0.0072716979859610755
