dA 81,dA 147,ddA 50,label
0.006158,0.001882,-0.000541,1
-0.0002,0.001337,-0.001631,1
0.012984,0.004188,-0.000098,1
0.011443,0.002296,-0.00012,1
0.008713,0.002245,-0.000446,1
0.00604,0.001409,-0.000573,1
0.00818,0.003038,-0.000801,1
-0.000221,0.001386,-0.000723,1
0.003647,0.001323,-0.001204,1
-0.001735,0.000812,-0.001958,1
-0.001678,0.001267,-0.001492,1
-0.001351,0.002138,-0.001907,1
-0.002313,0.001611,-0.002172,0
0.011293,0.001837,-0.000127,1
0.001292,0.00119,-0.001491,1
0.003002,0.001884,-0.000939,1
0.00133,0.001693,-0.000445,1
0.010521,0.002996,-0.0006,1
0.010521,0.002996,-0.0006,1
0.011703,0.00182,0.000261,1
0.011703,0.00182,0.000261,1
0.000094,0.001422,-0.001105,1
0.007886,0.002556,-0.000179,1
0.005846,0.003556,-0.000921,1
0.002222,0.000757,-0.001966,1
0.001486,0.001242,-0.000606,1
-0.0001,0.001634,-0.001218,1
0.000417,0.000871,-0.000384,1
-0.003117,0.000503,-0.001943,1
0.005727,0.00344,-0.00032,1
-0.000601,0.001501,-0.001119,1
0.000717,0.001073,-0.000858,1
-0.00174,0.00103,-0.001186,1
-0.001061,0.000573,-0.000964,1
-0.001593,0.000476,-0.001879,1
0.008279,0.001242,-0.000374,1
-0.002687,0.000928,-0.002185,1
0.002306,0.001364,-0.000959,1
-0.002175,0.001818,-0.001726,1
0.001348,0.001744,-0.002041,1
0.007609,0.002084,-0.001618,1
0.007597,0.003195,-0.001178,1
0.001271,0.002173,-0.001413,1
0.011242,0.00245,-0.000069,1
0.007602,0.001796,0.000057,1
0.002964,0.001781,-0.001831,1
0.003142,0.003225,-0.001469,1
0.001352,0.002827,-0.001659,1
-0.001251,0.002765,-0.001887,1
-0.003692,0.000291,-0.002554,0
-0.002357,0.000569,-0.002037,0
-0.00127,0.000659,-0.001974,0
-0.002608,0.000761,-0.001534,0
-0.002764,0.000802,-0.001807,0
-0.002374,0.000825,-0.001741,0
-0.003981,0.000821,-0.003005,0
-0.001619,0.000598,-0.00149,0
-0.004199,0.000196,-0.002782,0
-0.002319,0.001074,-0.00192,0
-0.000043,0.000697,-0.000973,0
-0.002584,0.000497,-0.001773,0
-0.003367,0.000242,-0.002648,0
0.007675,0.001564,0.000393,1
0.004549,0.002092,-0.000785,1
0.001939,0.002013,-0.000766,1
-0.001175,0.001529,-0.001136,1
0.009229,0.002377,-0.000307,1
-0.000847,0.002169,-0.001005,1
-0.001853,0.001939,-0.000739,1
-0.001396,0.000991,-0.000809,1
0.001537,0.001568,-0.001199,1
-0.000693,0.000559,-0.000998,1
0.000252,0.001109,-0.001332,1
-0.001935,0.000516,-0.001778,1
